pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount
-73.977426,40.772535,-73.99079,40.750394,1,9.5
-73.961633,40.798769,-73.973385,40.789544,1,5.5
-73.788536,40.644999,-73.969741,40.753395,2,49.57
-74.002337,40.734499,-73.89295,40.752878,1,22.9
-73.97567,40.781857,-73.986443,40.757018,1,8.5
-73.99187,40.689687,-73.952152,40.71767,2,13.0
-74.000328,40.760392,-73.97604,40.760599,1,10.1
-73.862729,40.769267,-73.985202,40.744721,1,26.9
-73.976662,40.727157,-73.981998,40.731117,1,4.0
-73.955558,40.772495,-73.97659,40.745947,1,7.3
-73.972123,40.793685,-73.92913,40.865747,2,18.5
-73.995776,40.768335,-74.002243,40.718879,3,17.2
-73.982429,40.747953,-73.982429,40.747953,1,6.1
-73.97956,40.735342,-73.984897,40.747447,1,7.0
-73.953788,40.743582,-73.95602,40.768175,1,12.5
-73.982167,40.74014,-73.977484,40.746577,2,4.5
-73.986537,40.750128,-73.8707,40.773967,2,33.2
-73.990591,40.757782,-73.987918,40.765021,1,4.1
-73.991565,40.749862,-73.998157,40.764123,2,6.9
-74.004117,40.742085,-73.990012,40.733392,5,7.0
-73.969826,40.763205,-73.989147,40.729189,1,11.3
-73.994073,40.719929,-73.987483,40.732555,1,5.7
-74.009647,40.722105,-73.974763,40.68028,5,12.9
-73.966305,40.758036,-73.979988,40.73941,1,49.57
-73.981685,40.769081,-73.9645,40.773232,1,8.0
-73.971883,40.762369,-73.989329,40.75885,1,8.5
-73.951158,40.778752,-73.990742,40.745308,5,10.5
-73.947427,40.790848,-73.960198,40.77126,1,5.7
-73.970365,40.764847,-73.969312,40.760945,2,5.5
-73.95455932617188,40.765579223632805,-73.9717788696289,40.7586326599121,2,8.0
-73.944427,40.779437,-73.983687,40.743732,1,14.0
-73.949085,40.77715,-73.93474,40.794704,1,6.5
-73.992225,40.743602,-73.978975,40.762433,1,6.1
-73.977822,40.761282,-73.95601,40.732956,1,26.5
-73.981425,40.781223,-73.971109,40.798212,1,7.0
-73.971107,40.751995,-73.966775,40.761147,1,10.5
-73.98544,40.767535,-73.955332,40.733748,1,16.5
-73.927405,40.72954,-73.927405,40.72954,5,8.1
-73.991798,40.743935,-73.974875,40.79353,6,18.9
-73.992097,40.72551,-73.9802,40.733577,2,6.5
-73.960963,40.75654,-73.96819,40.760595,1,5.5
-73.987027,40.764325,-73.984245,40.769782,1,5.5
-73.97616,40.776067,-74.008738,40.742767,1,18.0
-73.998308,40.745478,-73.974307,40.795703,1,6.9
-74.015975,40.705007,-74.0136,40.716632,1,4.9
-73.955522,40.779172,-73.971947,40.790456,1,7.5
-74.00503,40.74102,-73.989061,40.758416,1,7.0
-73.982593,40.756542,-73.974577,40.761375,2,5.3
-73.9432,40.789525,-73.932352,40.796461,1,5.0
-74.002225,40.718857,-74.010637,40.714087,1,6.0
-73.988959,40.763559,-73.990833,40.750758,1,10.5
-73.98536,40.7785,-73.98026,40.78542,5,4.5
-73.991583,40.749751,-73.974267,40.758827,1,6.9
-74.01031494140625,40.71202087402344,-73.97833251953125,40.75247573852539,1,14.5
-73.966658,40.76149,-73.960839,40.774035,1,5.5
0.0,0.0,0.0,0.0,1,60.0
-73.985453,40.741354,-73.955961,40.768006,1,11.0
-73.929038,40.768357,-73.929367,40.754042,2,7.5
-74.007522,40.70503,-73.984629,40.761467,1,21.0
-73.974777,40.790762,-73.978045,40.745557,6,19.5
-73.9615,40.806073,-73.98771,40.770445,1,11.3
-73.98157,40.78054,-73.986419,40.77735,1,3.7
-73.9967498779297,40.73715972900391,-73.95130157470702,40.707008361816406,1,17.0
-73.978059,40.752337,-73.987479,40.743997,1,6.5
-73.99531,40.739502,-74.002545,40.733337,1,6.0
-73.966093,40.762058,-73.959938,40.770844,1,4.0
-73.989177,40.726652,-73.99136,40.697017,1,11.5
-73.991943,40.735433,-73.999197,40.738438,2,3.3
-73.956962,40.812427,-73.932127,40.795152,1,11.5
-73.96356,40.771825,-74.011012,40.716776,2,26.5
-73.951432,40.786147,-73.976463,40.78879,5,9.0
0.0,0.0,0.0,0.0,3,4.9
-74.008,40.720103,-73.997027,40.72543,1,5.3
-73.9795379638672,40.69346618652344,-73.96112823486328,40.68035888671875,1,8.0
-73.9880599975586,40.72329711914063,-73.9604721069336,40.81599044799805,1,27.0
-73.928865,40.753636,-73.877418,40.702337,2,25.5
-73.94869,40.774,-73.969551,40.785425,1,6.9
-73.983062,40.766071,-73.971095,40.793245,1,9.0
-73.990143,40.75029,-73.994879,40.760301,1,4.9
-73.945196,40.833873,-73.951929,40.813848,2,7.3
-73.97343444824217,40.685840606689446,-73.9508056640625,40.67432403564453,5,8.5
-74.002036,40.733733,-73.962314,40.802197,1,16.9
-73.99594,40.730707,-73.977303,40.751538,1,8.1
